Line,Station Name,Latitude,Longitude
District,Earl's Court,51.490331,-0.1958417
District,East Ham,51.5333972,0.04991139999999999
District,East Putney,51.4596431,-0.2141257
District,Edgware Road,51.5202914,-0.1701944
District,Elm Park,51.449652,-0.1179072
District,Embankment,51.5032466,-0.112293
District,Fulham Broadway,51.4803328,-0.1943638
District,Gloucester Road,51.495262,-0.1829172
District,Gunnersbury,51.49335199999999,-0.278887
District,Hammersmith,51.491187,-0.223731
District,High Street Kensington,51.5008834,-0.1926463
District,Hornchurch,51.562254,0.218605
District,Kensington,51.498705,-0.1901901
District,Kew Gardens,51.475251,-0.2848908
District,Mansion House,51.5122905,-0.0936332
District,Mile End,51.52354529999999,-0.0330122
District,Notting Hill Gate,51.5090613,-0.1966222
District,Paddington,51.5032466,-0.112293
District,Parsons Green,51.4747689,-0.2002723
District,Plaistow,51.5268317,0.0308143
District,Putney Bridge,51.5072178,-0.1275862
District,Ravenscourt Park,51.4952683,-0.2397865
District,Richmond,37.780683,-122.4723021
District,Sloane Square,51.4927684,-0.1570174
District,South Kensington,51.4940406,-0.1802093
District,Southfields,51.44522,-0.2037324
District,St. James's Park,51.5072178,-0.1275862
District,Stamford Brook,51.4904257,-0.2341454
District,Stepney Green,51.5219664,-0.0466614
District,Temple,51.5109998,-0.1142932
District,Tower Hill,51.5101178,-0.07666089999999999
District,Turnham Green,51.5072178,-0.1275862
District,Upminster,51.55591399999999,0.248894
District,Upminster Bridge,51.55591399999999,0.248894
District,Upney,51.5384146,0.1015648
District,Upton Park,51.53471750000001,0.0337596
District,Victoria,51.4952103,-0.1438979
District,West Brompton,51.4872591,-0.1955188
District,West Ham,51.5280931,0.005108199999999999
District,West Kensington,51.4898621,-0.2070008
District,Westminster,51.4974948,-0.1356583
District,Whitechapel,51.5148198,-0.0650534
District,Wimbledon,51.41833889999999,-0.2206288
District,Wimbledon Park,51.43455230000001,-0.2003717
Elizabeth Line,Acton Main Line,51.5174028,-0.2666701
Elizabeth Line,Brentwood,51.613605,0.299613
Elizabeth Line,Burnham,51.5233529,-0.6465506000000001
Elizabeth Line,Chadwell Heath,51.5680729,0.1296121
Elizabeth Line,Ealing Broadway,51.5133314,-0.3040798
Elizabeth Line,Forest Gate,51.5439215,0.0264272
Elizabeth Line,Gidea Park,51.5815385,0.2057702
Elizabeth Line,Goodmayes,51.5662262,0.1102974
Elizabeth Line,Hanwell,51.5066369,-0.3383229
Elizabeth Line,Harold Wood,51.5928602,0.232836
Elizabeth Line,Hayes & Harlington,51.5030533,-0.420603
Elizabeth Line,Heathrow Terminal 4,51.459438,-0.446682
Elizabeth Line,Heathrow Terminals 2 & 3,51.4724711,-0.4544586
Elizabeth Line,Ilford,51.5562328,0.0718341
Elizabeth Line,Iver,51.5084502,-0.5063803
Elizabeth Line,Langley,51.5080251,-0.5418476999999999
Elizabeth Line,Liverpool Street,51.5174846,-0.0826291
Elizabeth Line,Maidenhead,51.5187073,-0.7226926
Elizabeth Line,Manor Park,51.550487,0.0514117
Elizabeth Line,Maryland,51.5465814,0.0060212
Elizabeth Line,Paddington,51.5032466,-0.112293
Elizabeth Line,Reading,51.4583641,-0.9714799
Elizabeth Line,Romford,51.57472449999999,0.1826519
Elizabeth Line,Seven Kings,51.5636064,0.098511
Elizabeth Line,Shenfield,51.63080890000001,0.3297648
Elizabeth Line,Slough,51.5118824,-0.5913883
Elizabeth Line,Southall,51.5058941,-0.3785616
Elizabeth Line,Stratford,51.5416767,-0.0015654
Elizabeth Line,Taplow,51.5235529,-0.6814378999999999
Elizabeth Line,Twyford,51.4755668,-0.8631605
Elizabeth Line,West Drayton,51.5098801,-0.4725394999999999
Elizabeth Line,West Ealing,51.5136783,-0.3209758
H&C and Circle,Aldgate,51.51298,-0.07002069999999999
H&C and Circle,Aldgate East,51.5152638,-0.0718345
H&C and Circle,Baker Street,51.5231548,-0.156863
H&C and Circle,Bank,51.533441,-0.12095
H&C and Circle,Barbican,51.51298,-0.07002069999999999
H&C and Circle,Barking,51.5377369,0.076127
H&C and Circle,Bayswater,51.5135456,-0.1865659
H&C and Circle,Blackfriars,51.5115746,-0.1034728
H&C and Circle,Bow Road,51.52695929999999,-0.024766
H&C and Circle,Bromley-by-Bow,51.5278208,-0.0128373
H&C and Circle,Cannon Street,51.5072178,-0.1275862
H&C and Circle,East Ham,51.5333972,0.04991139999999999
H&C and Circle,Edgware Road,51.5202914,-0.1701944
H&C and Circle,Embankment,51.5032466,-0.112293
H&C and Circle,Euston Square,51.525635,-0.1350197
H&C and Circle,Farringdon,51.51298,-0.07002069999999999
H&C and Circle,Gloucester Road,51.495262,-0.1829172
H&C and Circle,Goldhawk Road,51.5004522,-0.2350711
H&C and Circle,Great Portland Street,51.5199737,-0.1426286
H&C and Circle,Hammersmith,51.491187,-0.223731
H&C and Circle,High Street Kensington,51.5008834,-0.1926463
H&C and Circle,King's Cross St. Pancras,51.53066279999999,-0.1231666
H&C and Circle,Ladbroke Grove,51.5178769,-0.2103321
H&C and Circle,Latimer Road,51.5134548,-0.2177014
H&C and Circle,Liverpool Street,51.5174846,-0.0826291
