MLEu_DIS_EB>BWRu_DIS_EB@DIS,District,EB,45,642,MLEu,Mile End,528,BWRu,Bow Road,289,11,55,92,54,42,35,0,0,0,1,2,1,4,3,5,4,4,4,5,4,5,4,5,5,5,5,5,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,5,5,4,6,3,5,4,6,3,5,5,5,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BWRu_DIS_EB>BBBu_DIS_EB@DIS,District,EB,46,528,BWRu,Bow Road,530,BBBu,Bromley-by-Bow,289,10,55,93,53,43,35,0,0,0,1,1,2,3,3,5,4,5,4,5,4,4,5,5,5,5,4,5,5,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,5,4,5,5,4,4,5,5,4,4,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BBBu_DIS_EB>WHMu_DIS_EB@DIS,District,EB,47,530,BBBu,Bromley-by-Bow,757,WHMu,West Ham,289,10,55,92,54,42,36,0,0,0,1,1,2,2,4,5,4,4,5,4,4,4,5,5,5,5,5,4,6,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,5,4,4,5,5,4,5,4,5,4,5,4,5,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WHMu_DIS_EB>PLWu_DIS_EB@DIS,District,EB,48,757,WHMu,West Ham,676,PLWu,Plaistow,289,10,54,93,53,43,36,0,0,0,1,1,1,2,5,4,4,4,5,4,4,5,4,5,5,5,5,5,5,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,6,4,4,5,4,4,5,5,5,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PLWu_DIS_EB>UPKu_DIS_EB@DIS,District,EB,49,676,PLWu,Plaistow,739,UPKu,Upton Park,289,9,55,92,53,43,37,0,0,0,1,1,1,2,4,4,5,4,5,4,4,4,5,5,5,5,5,5,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,5,4,5,4,5,4,5,3,6,4,5,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UPKu_DIS_EB>EHMu_DIS_EB@DIS,District,EB,50,739,UPKu,Upton Park,566,EHMu,East Ham,289,9,54,93,53,43,37,0,0,0,1,1,1,2,4,4,4,5,4,4,4,5,4,5,5,5,5,5,4,5,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,3,4,5,5,4,5,4,5,4,4,5,5,4,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EHMu_DIS_EB>BKGu_DIS_EB@DIS,District,EB,51,566,EHMu,East Ham,514,BKGu,Barking,289,8,55,93,52,44,37,0,0,0,1,0,2,1,4,4,4,5,4,4,5,4,5,4,5,5,6,4,5,4,5,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,2,5,4,5,4,5,5,4,4,5,5,4,4,6,4,4,4,4,3,2,4,3,3,3,2,4,2,4,2,4,2,4,3,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BKGu_DIS_EB>UPYu_DIS_EB@DIS,District,EB,52,514,BKGu,Barking,738,UPYu,Upney,244,7,46,76,43,44,28,0,0,1,0,1,1,2,2,3,5,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,5,3,4,3,4,4,4,4,6,4,4,4,3,3,3,3,3,3,2,1,2,1,2,1,2,2,3,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UPYu_DIS_EB>BECu_DIS_EB@DIS,District,EB,53,738,UPYu,Upney,518,BECu,Becontree,244,6,47,75,44,43,29,0,0,0,1,1,1,2,1,4,5,4,3,4,4,3,3,4,4,4,5,4,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,3,3,4,4,4,3,5,5,4,5,3,3,3,3,3,3,3,2,2,1,2,1,2,1,3,2,5,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BECu_DIS_EB>DGHu_DIS_EB@DIS,District,EB,54,518,BECu,Becontree,556,DGHu,Dagenham Heathway,244,6,46,76,43,44,29,0,0,0,1,1,1,1,2,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,3,4,3,4,4,4,3,5,5,5,4,4,3,3,3,3,3,3,2,2,1,2,1,2,1,3,2,5,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DGHu_DIS_EB>DGEu_DIS_EB@DIS,District,EB,55,556,DGHu,Dagenham Heathway,555,DGEu,Dagenham East,244,6,46,75,44,43,30,0,0,0,1,1,1,1,2,3,4,4,4,4,4,2,4,4,5,3,5,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,5,3,4,5,5,4,4,3,3,3,3,3,3,3,1,2,1,2,1,2,2,2,5,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DGEu_DIS_EB>EPKu_DIS_EB@DIS,District,EB,56,555,DGEu,Dagenham East,571,EPKu,Elm Park,232,6,38,76,38,44,30,0,0,0,1,1,0,2,2,1,3,5,2,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,4,4,4,3,6,4,5,4,3,3,3,3,3,3,3,1,2,1,2,1,2,2,2,4,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EPKu_DIS_EB>HCHu_DIS_EB@DIS,District,EB,57,571,EPKu,Elm Park,610,HCHu,Hornchurch,232,5,38,76,39,43,31,0,0,0,1,1,0,2,1,2,3,4,3,3,3,2,3,3,3,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,2,3,3,3,5,3,4,5,5,4,4,3,3,3,3,3,3,3,2,1,2,1,2,1,2,2,3,5,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HCHu_DIS_EB>UPBu_DIS_EB@DIS,District,EB,58,610,HCHu,Hornchurch,737,UPBu,Upminster Bridge,232,5,37,77,38,44,31,0,0,0,1,0,1,1,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,5,3,4,5,5,4,4,4,3,3,3,3,3,3,2,1,2,1,2,1,2,2,3,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
UPBu_DIS_EB>UPMu_DIS_EB@DIS,District,EB,59,737,UPBu,Upminster Bridge,736,UPMu,Upminster,232,5,37,77,37,45,31,0,0,0,0,1,1,1,2,2,2,4,3,3,3,3,3,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,2,4,3,4,2,3,3,4,4,4,4,6,3,5,3,3,3,4,3,3,3,2,1,2,1,2,1,2,2,3,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
UPMu_DIS_WB>UPBu_DIS_WB@DIS,District,WB,1,736,UPMu,Upminster,737,UPBu,Upminster Bridge,232,29,38,75,42,35,13,1,2,4,4,5,4,5,4,4,3,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,5,4,4,3,3,4,2,4,2,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
UPBu_DIS_WB>HCHu_DIS_WB@DIS,District,WB,2,737,UPBu,Upminster Bridge,610,HCHu,Hornchurch,232,28,39,74,42,36,13,1,1,4,5,4,4,5,4,5,3,3,3,3,3,3,4,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
HCHu_DIS_WB>EPKu_DIS_WB@DIS,District,WB,3,610,HCHu,Hornchurch,571,EPKu,Elm Park,232,28,38,75,42,36,13,1,1,4,4,4,5,5,4,4,4,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,5,3,5,3,3,3,4,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
EPKu_DIS_WB>DGEu_DIS_WB@DIS,District,WB,4,571,EPKu,Elm Park,555,DGEu,Dagenham East,232,28,39,74,42,37,12,1,2,4,3,5,4,5,4,5,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,5,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,2,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DGEu_DIS_WB>DGHu_DIS_WB@DIS,District,WB,5,555,DGEu,Dagenham East,556,DGHu,Dagenham Heathway,244,27,46,75,47,36,13,1,2,2,4,5,4,5,4,5,5,3,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,4,3,4,4,5,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DGHu_DIS_WB>BECu_DIS_WB@DIS,District,WB,6,556,DGHu,Dagenham Heathway,518,BECu,Becontree,244,26,47,74,47,37,13,1,1,3,4,4,5,5,3,5,5,4,3,5,3,5,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,5,4,4,4,3,5,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BECu_DIS_WB>UPYu_DIS_WB@DIS,District,WB,7,518,BECu,Becontree,738,UPYu,Upney,244,26,46,75,47,36,14,1,1,2,4,4,5,5,4,5,5,4,3,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,3,5,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UPYu_DIS_WB>BKGu_DIS_WB@DIS,District,WB,8,738,UPYu,Upney,514,BKGu,Barking,244,26,46,74,47,37,14,1,1,2,3,5,4,5,5,4,5,4,3,4,5,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,5,4,5,3,5,4,3,4,5,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,2,1,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BKGu_DIS_WB>EHMu_DIS_WB@DIS,District,WB,9,514,BKGu,Barking,566,EHMu,East Ham,289,25,54,92,56,38,24,1,1,1,4,4,4,5,5,5,4,5,4,5,4,5,5,4,5,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,5,5,5,5,4,6,4,5,4,5,5,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EHMu_DIS_WB>UPKu_DIS_WB@DIS,District,WB,10,566,EHMu,East Ham,739,UPKu,Upton Park,289,23,55,92,56,38,25,0,1,2,3,4,4,5,4,5,5,5,5,4,4,4,6,4,4,5,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,5,5,5,5,4,5,6,4,4,5,5,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UPKu_DIS_WB>PLWu_DIS_WB@DIS,District,WB,11,739,UPKu,Upton Park,676,PLWu,Plaistow,289,23,55,92,56,38,25,0,1,2,2,4,5,4,5,4,6,4,5,4,5,4,5,4,5,4,5,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,5,5,4,5,5,5,4,6,4,5,4,5,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PLWu_DIS_WB>WHMu_DIS_WB@DIS,District,WB,12,676,PLWu,Plaistow,757,WHMu,West Ham,289,23,55,91,56,39,25,0,1,1,2,5,4,5,5,3,6,5,4,4,5,4,5,5,4,5,5,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,5,4,5,4,6,4,6,4,5,4,5,4,5,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WHMu_DIS_WB>BBBu_DIS_WB@DIS,District,WB,13,757,WHMu,West Ham,530,BBBu,Bromley-by-Bow,289,22,55,91,56,39,26,0,1,1,2,4,4,5,5,4,5,6,3,5,4,5,4,6,4,4,5,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,5,4,5,4,5,5,5,5,5,4,5,4,5,4,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BBBu_DIS_WB>BWRu_DIS_WB@DIS,District,WB,14,530,BBBu,Bromley-by-Bow,528,BWRu,Bow Road,289,20,56,91,57,39,26,0,1,1,2,3,5,4,4,5,5,5,4,5,4,5,4,6,4,5,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,5,3,5,5,5,4,6,4,5,5,4,4,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BWRu_DIS_WB>MLEu_DIS_WB@DIS,District,WB,15,528,BWRu,Bow Road,642,MLEu,Mile End,289,20,55,91,57,39,27,0,1,1,1,4,4,4,5,5,5,4,5,4,5,4,5,5,5,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,5,3,5,5,5,5,5,5,4,5,4,5,5,4,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MLEu_DIS_WB>STGu_DIS_WB@DIS,District,WB,16,642,MLEu,Mile End,715,STGu,Stepney Green,289,20,55,91,57,39,27,0,1,1,1,4,4,4,5,4,5,5,5,4,5,4,4,5,5,4,5,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,5,5,4,6,4,5,5,5,4,5,4,5,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
STGu_DIS_WB>WCLu_DIS_WB@DIS,District,WB,17,715,STGu,Stepney Green,763,WCLu,Whitechapel,289,19,55,92,56,40,27,0,0,1,2,3,4,4,5,4,5,5,5,5,4,4,4,6,4,4,5,4,5,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,5,4,5,5,5,4,5,6,4,4,5,5,4,4,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WCLu_DIS_WB>ALEu_DIS_WB@DIS,District,WB,18,763,WCLu,Whitechapel,503,ALEu,Aldgate East,289,18,55,92,56,40,28,0,0,1,2,2,4,5,4,5,4,6,4,5,4,5,4,5,4,5,4,5,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,5,5,4,5,5,5,4,6,4,5,4,5,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ALEu_DIS_WB>THLu_DIS_WB@DIS,District,WB,19,503,ALEu,Aldgate East,731,THLu,Tower Hill,289,18,55,91,56,41,28,0,0,1,1,2,5,4,5,4,4,6,5,4,4,5,4,5,5,4,5,5,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,5,4,5,4,6,4,6,4,5,4,5,4,5,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
THLu_DIS_WB>BNKu_DIS_WB@DIS,District,WB,20,731,THLu,Tower Hill,513,BNKu,Bank and Monument,357,19,63,110,66,57,42,0,0,1,1,2,5,4,6,4,6,5,6,5,5,5,6,5,6,5,5,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BNKu_DIS_WB>CSTu_DIS_WB@DIS,District,WB,21,513,BNKu,Bank and Monument,536,CSTu,Cannon Street LU,357,18,64,110,65,58,42,0,0,1,1,2,4,4,6,5,5,5,6,5,6,4,6,5,6,5,6,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,6,4,6,5,6,5,6,6,5,5,6,5,6,5,6,6,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CSTu_DIS_WB>MANu_DIS_WB@DIS,District,WB,22,536,CSTu,Cannon Street LU,639,MANu,Mansion House,357,17,64,110,66,58,42,0,0,1,1,1,5,4,5,5,6,5,6,5,5,5,5,6,5,5,6,5,6,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,6,5,5,6,6,5,6,5,6,4,7,4,7,5,6,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MANu_DIS_WB>BLFu_DIS_WB@DIS,District,WB,23,639,MANu,Mansion House,521,BLFu,Blackfriars LU,357,17,64,110,65,58,43,0,0,1,1,1,4,5,5,5,5,6,5,5,6,5,5,6,5,5,6,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,6,4,6,6,5,6,5,6,5,6,5,5,6,5,6,6,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BLFu_DIS_WB>TEMu_DIS_WB@DIS,District,WB,24,521,BLFu,Blackfriars LU,724,TEMu,Temple,357,16,64,110,65,59,43,0,0,1,1,1,3,6,4,6,4,6,5,6,5,5,5,6,5,6,5,6,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,6,5,6,5,7,4,6,5,6,5,6,5,7,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TEMu_DIS_WB>EMBu_DIS_WB@DIS,District,WB,25,724,TEMu,Temple,542,EMBu,Embankment,357,15,64,110,65,59,44,0,0,0,1,2,3,5,4,6,5,6,5,5,5,6,4,6,5,6,5,6,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,6,4,7,5,5,6,6,5,6,5,5,5,6,6,6,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EMBu_DIS_WB>WMSu_DIS_WB@DIS,District,WB,26,542,EMBu,Embankment,761,WMSu,Westminster,357,15,64,109,66,58,45,0,0,0,1,2,2,5,5,5,6,5,5,5,6,5,5,5,6,5,6,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,6,5,6,6,4,7,5,6,5,6,4,6,6,5,6,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WMSu_DIS_WB>SJPu_DIS_WB@DIS,District,WB,27,761,WMSu,Westminster,695,SJPu,St. James's Park,357,15,64,109,66,58,45,0,0,0,1,2,2,5,5,4,6,5,6,5,5,5,6,4,7,4,7,4,6,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,6,5,6,4,7,5,6,5,6,5,6,5,6,5,6,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SJPu_DIS_WB>VICu_DIS_WB@DIS,District,WB,28,695,SJPu,St. James's Park,741,VICu,Victoria LU,357,14,64,110,65,59,45,0,0,0,1,1,3,4,5,5,5,5,6,5,6,4,6,5,6,5,6,5,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VICu_DIS_WB>SSQu_DIS_WB@DIS,District,WB,29,741,VICu,Victoria LU,702,SSQu,Sloane Square,357,13,64,110,65,59,46,0,0,0,1,1,2,5,4,6,5,5,5,6,5,5,5,6,5,6,5,5,6,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,6,5,6,5,6,5,6,5,6,5,6,5,6,6,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SSQu_DIS_WB>SKNu_DIS_WB@DIS,District,WB,30,702,SSQu,Sloane Square,708,SKNu,South Kensington,357,13,63,110,65,60,46,0,0,0,1,1,2,5,4,5,5,5,5,6,5,5,5,6,5,6,5,6,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,6,4,6,5,6,5,6,5,6,5,6,5,6,5,7,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SKNu_DIS_WB>GRDu_DIS_WB@DIS,District,WB,31,708,SKNu,South Kensington,583,GRDu,Gloucester Road,357,12,63,110,65,60,47,0,0,0,1,1,1,5,4,5,5,5,6,5,5,5,6,5,6,5,5,6,5,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,6,4,6,6,5,6,5,6,5,6,5,5,6,5,6,6,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GRDu_DIS_WB>ECTu_DIS_WB@DIS,District,WB,32,583,GRDu,Gloucester Road,562,ECTu,Earl's Court,357,12,63,110,64,60,48,0,0,0,1,1,1,4,5,4,6,4,6,5,6,4,6,5,6,5,6,5,5,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,6,5,6,5,6,5,6,5,5,6,6,6,6,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ERDu_DIS_WB>PADu_DIS_WB@DIS,District,WB,33,569,ERDu,Edgware Road (DIS),670,PADu,Paddington TfL,111,7,18,36,18,18,14,0,0,0,1,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PADu_DIS_WB>BAYu_DIS_WB@DIS,District,WB,34,670,PADu,Paddington TfL,517,BAYu,Bayswater,111,7,18,36,18,18,14,0,0,0,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BAYu_DIS_WB>NHGu_DIS_WB@DIS,District,WB,35,517,BAYu,Bayswater,663,NHGu,Notting Hill Gate,111,7,18,36,18,18,14,0,0,0,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NHGu_DIS_WB>HSTu_DIS_WB@DIS,District,WB,36,663,NHGu,Notting Hill Gate,605,HSTu,High Street Kensington,111,6,18,36,19,17,15,0,0,0,0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HSTu_DIS_WB>ECTu_DIS_WB@DIS,District,WB,37,605,HSTu,High Street Kensington,562,ECTu,Earl's Court,134,19,19,36,18,23,19,0,1,3,3,3,4,3,2,2,1,2,1,3,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,3,3,3,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
