RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,324,14,64,97,61,50,38,0,0,0,3,1,2,4,4,5,5,5,5,5,6,5,6,5,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,6,5,5,5,6,5,5,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,324,13,64,97,61,51,38,0,0,0,2,2,2,3,4,5,5,5,5,6,5,5,6,5,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,5,6,5,5,5,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),324,13,64,97,61,51,38,0,0,0,2,2,2,3,4,5,5,5,5,5,6,5,6,5,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,5,5,5,5,6,5,5,6,5,5,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ERBu_BAK_NB>PADu_BAK_NB@BAK,Bakerloo,NB,11,774,ERBu,Edgware Road (Bak),670,PADu,Paddington TfL,324,13,64,97,60,51,39,0,0,0,2,2,2,3,4,5,4,5,6,5,5,6,5,6,5,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,6,5,5,6,5,5,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PADu_BAK_NB>WARu_BAK_NB@BAK,Bakerloo,NB,12,670,PADu,Paddington TfL,746,WARu,Warwick Avenue,324,12,64,97,61,51,39,0,0,0,2,2,2,2,4,5,5,5,5,5,6,5,5,6,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,6,5,5,5,6,5,5,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WARu_BAK_NB>MDVu_BAK_NB@BAK,Bakerloo,NB,13,746,WARu,Warwick Avenue,637,MDVu,Maida Vale,324,12,63,97,61,51,40,0,0,0,2,1,2,3,4,4,5,5,5,6,5,5,6,5,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,6,5,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MDVu_BAK_NB>KPKu_BAK_NB@BAK,Bakerloo,NB,14,637,MDVu,Maida Vale,623,KPKu,Kilburn Park,324,11,64,97,61,51,40,0,0,0,2,1,2,2,4,5,5,5,5,5,5,6,5,6,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,6,5,5,6,5,5,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
KPKu_BAK_NB>QPKu_BAK_NB@BAK,Bakerloo,NB,15,623,KPKu,Kilburn Park,680,QPKu,Queen's Park,324,11,63,97,61,51,41,0,0,0,0,3,2,2,4,4,5,5,5,5,6,5,6,5,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,6,5,5,5,6,5,5,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
QPKu_BAK_NB>KGNu_BAK_NB@BAK,Bakerloo,NB,16,680,QPKu,Queen's Park,617,KGNu,Kensal Green,165,9,28,51,27,28,22,0,0,1,1,2,1,2,2,1,2,2,2,3,2,2,2,3,2,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,3,2,2,3,3,2,3,2,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
KGNu_BAK_NB>WJNu_BAK_NB@BAK,Bakerloo,NB,17,617,KGNu,Kensal Green,766,WJNu,Willesden Junction,165,8,28,51,28,28,22,0,0,1,1,2,1,2,1,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,3,2,3,2,3,2,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
