Line,Station Name,Latitude,Longitude
District,Ealing Broadway,51.5149142,-0.3018846
District,Ealing Common,51.5132537,-0.3043136
District,Earl's Court,51.4919342,-0.2248021
District,East Ham,51.5333972,0.04991139999999999
District,East Putney,51.4919342,-0.2248021
District,Edgware Road,51.5202914,-0.1701944
District,Elm Park,51.4919342,-0.2248021
District,Embankment,51.5072554,-0.1221937
District,Fulham Broadway,51.4919342,-0.2248021
District,Gloucester Road,51.4919342,-0.2248021
District,Gunnersbury,51.4919342,-0.2248021
District,Hammersmith,51.4919342,-0.2248021
District,High Street Kensington,51.5008834,-0.1926463
District,Hornchurch,51.4919342,-0.2248021
District,Kensington,51.4919342,-0.2248021
District,Kew Gardens,51.4770818,-0.2851522
District,Mansion House,51.4919342,-0.2248021
District,Mile End,51.5251447,-0.0334172
District,Notting Hill Gate,51.5092063,-0.1962355
District,Paddington,51.5166744,-0.1769328
District,Parsons Green,51.4919342,-0.2248021
District,Plaistow,51.4919342,-0.2248021
District,Putney Bridge,51.4679691,-0.2089232
District,Ravenscourt Park,51.4919342,-0.2248021
District,Richmond,51.4919342,-0.2248021
District,Sloane Square,51.4919342,-0.2248021
District,South Kensington,51.4953291,-0.1789909
District,Southfields,51.4450087,-0.2065149
District,St. James's Park,51.499479,-0.1337107
District,Stamford Brook,51.4919342,-0.2248021
District,Stepney Green,51.4919342,-0.2248021
District,Temple,51.4919342,-0.2248021
District,Tower Hill,51.4919342,-0.2248021
District,Turnham Green,51.4919342,-0.2248021
District,Upminster,51.4919342,-0.2248021
District,Upminster Bridge,51.4919342,-0.2248021
District,Upney,51.4919342,-0.2248021
District,Upton Park,51.53471750000001,0.0337596
District,Victoria,51.4919342,-0.2248021
District,West Brompton,51.4872591,-0.1955188
District,West Ham,51.5280931,0.005108199999999999
District,West Kensington,51.4919342,-0.2248021
District,Westminster,51.4919342,-0.2248021
District,Whitechapel,51.4919342,-0.2248021
District,Wimbledon,51.4919342,-0.2248021
District,Wimbledon Park,51.4919342,-0.2248021
Elizabeth Line,Abbey Wood,51.4926116,0.1188182
Elizabeth Line,Acton Main Line,51.5174028,-0.2666701
Elizabeth Line,Bond Street,51.5143352,-0.1488549
Elizabeth Line,Brentwood,51.613605,0.299613
Elizabeth Line,Burnham,51.5233529,-0.6465506000000001
Elizabeth Line,Canary Wharf,51.50626,-0.018541
Elizabeth Line,Chadwell Heath,51.5680729,0.1296121
Elizabeth Line,Custom House,51.509862,0.0272618
Elizabeth Line,Ealing Broadway,51.5149142,-0.3018846
Elizabeth Line,Farringdon,51.5194956,-0.099577
Elizabeth Line,Forest Gate,51.5439215,0.0264272
Elizabeth Line,Gidea Park,51.5815385,0.2057702
Elizabeth Line,Goodmayes,51.56567140000001,0.1114052
Elizabeth Line,Hanwell,51.5066369,-0.3383229
Elizabeth Line,Harold Wood,51.5928602,0.232836
Elizabeth Line,Hayes & Harlington,51.5030533,-0.420603
Elizabeth Line,Heathrow Terminal 4,51.459438,-0.446682
Elizabeth Line,Heathrow Terminal 5,51.4715021,-0.4880069
Elizabeth Line,Heathrow Terminals 2 & 3,51.4724711,-0.4544586
Elizabeth Line,Ilford,51.5562328,0.0718341
Elizabeth Line,Iver,51.5084502,-0.5063803
Elizabeth Line,Langley,51.5080251,-0.5418476999999999
Elizabeth Line,Liverpool Street,51.5174331,-0.08296669999999999
Elizabeth Line,Maidenhead,51.5187073,-0.7226926
Elizabeth Line,Manor Park,51.550487,0.0514117
Elizabeth Line,Maryland,51.5461287,0.0059127
Elizabeth Line,Paddington,51.5166744,-0.1769328
Elizabeth Line,Reading,51.4583641,-0.9714799
Elizabeth Line,Romford,51.57472449999999,0.1826519
