nodeID,nodeLabel,x,y
0,abbeyroad,45.45497476691275,13.022135177816036
1,westham,45.940508943774375,10.483690973881249
2,actoncentral,6.626893566869917,3.2854639073341363
3,willesdenjunction,9.156980746387626,11.330164421268604
4,actontown,4.164574397096651,0.3382983338954386
5,chiswickpark,5.878705614319274,-3.7213772506089566
6,turnhamgreen,7.0814416609014925,-1.5112069990816281
7,aldgate,34.76113878106346,6.078064939791049
8,liverpoolstreet,34.192003135995186,9.51055337855504
9,aldgateeast,36.21384100514965,7.732246510374592
10,whitechapel,36.589628030187725,10.080658117805628
11,allsaints,43.64066351523428,5.843890437341491
12,poplar,42.7055110138843,3.695830663012595
13,alperton,3.8865063509090416,11.083652648884447
14,parkroyal,5.305285697090457,8.941490538223912
15,amersham,-11.914121290511554,22.37413429369014
16,chalfont&latimer,-9.55066868750686,23.269190605983386
17,anerley,33.53585584059686,-15.225245558520278
18,norwoodjunction,31.33338922498651,-16.25151799669243
19,angel,30.666651088050905,15.757229440751123
20,oldstreet,32.6637893343293,14.513092007508956
21,archway,24.839623112768507,26.043616007638235
22,tufnellpark,24.959832806923703,23.350537817670563
23,arnosgrove,24.750006425237927,30.72853614797364
24,southgate,27.557953035242868,32.333128019133646
25,arsenal,31.047342637328278,22.503469267123158
26,finsburypark,29.77832236514674,24.740324512992075
27,bakerstreet,21.103300877216338,10.18998839246134
28,bondstreet,22.013407354876176,3.8880307341046794
29,edgwareroad(circleline),19.967076563136253,7.349798830670779
30,greatportlandstreet,23.22503737788085,9.577333441716702
31,regentspark,22.276360277873774,12.379870372403966
32,balham,23.890675097232915,-13.762465846666721
33,tootingbec,21.9119710154948,-13.651622781136817
34,bank,32.74842442094421,6.522651059889524
35,londonbridge,33.75879522498658,-1.9012806533880575
36,shadwell,37.27906843473381,4.889975539599134
37,barbican,31.494094042942457,12.300681138685635
38,farringdon,29.719812996252255,11.64905401589093
39,moorgate,32.50345490993691,10.351548973899632
40,barking,52.110229339517296,12.226387414595067
41,upney,52.91643770670709,10.48121150282482
42,barkingside,51.949092302134915,19.055588618086492
43,fairlop,50.731879237916836,21.068477229054782
44,baronscourt,11.914633535259464,-5.673512712349695
45,earlscourt,15.592933712957086,-3.421548221003983
46,westkensington,13.558238003055052,-4.572328005813006
47,bayswater,15.325272622145752,4.889443620995147
48,nottinghillgate,14.685899472708387,2.7191402710072645
49,paddington,17.914964254761355,4.824472201137477
50,becktonpark,51.59027405665896,4.939140291591445
51,cyprus,52.71571916356138,3.04288521764388
52,becontree,54.30492876332772,10.169776519387705
53,dagenhamheathway,55.66994968683558,9.376904225141558
54,belsizepark,20.608399026190135,20.9396558603865
55,chalkfarm,21.490104683931666,17.8371701372227
56,bermondsey,35.18882637911381,-3.737713721803385
57,canadawater,37.54679826045903,-2.4783891682756485
58,bethnalgreen,37.12731404104039,14.422116154967776
59,mileend,38.98528994537125,11.822756105502162
60,blackfriars,29.931223038492078,3.450182549377893
61,mansionhouse,31.58489620599187,4.245710561260139
62,blackhorseroad,37.029160158299874,27.039469144480712
63,walthamstowcentral,39.408762772881964,26.506224071069408
64,walthamstowqueensroad,37.994099027239386,24.655289626411452
65,blackwall,44.47662428125681,1.3707399635705821
66,eastindia,45.44982183831839,3.331700947445252
67,greenpark,22.63858179336308,0.12108792901480597
68,oxfordcircus,23.202453578257174,5.606665141438582
69,borough,32.13978908102148,-3.0805585107184603
70,elephant&castle,31.51477627942212,-4.946410106589118
71,bostonmanor,0.5194221532401324,-0.030810837397605303
72,northfields,0.40628803436144856,2.2770147237864746
73,boundsgreen,26.96075003791475,29.84209008350239
74,bowchurch,41.628019390151636,12.760374835853263
75,devonsroad,41.178440582418965,9.509133064075968
76,bowroad,39.61386847446751,13.722949745192615
77,bromley-by-bow,43.411965199448225,10.805861473215401
78,brentcross,14.837447670950244,24.401928193918508
79,goldersgreen,16.881601316259772,25.33479934461074
80,brixton,29.24284693599749,-11.582307474057925
81,stockwell,27.460094076526087,-9.111357829897742
82,brockley,38.82459253710513,-9.48393892620175
83,honoroakpark,38.10913750665624,-11.2203014143277
84,newcrossgate,37.457680374510254,-7.215131294613748
85,brondesbury,14.459048413156584,17.713966272031932
86,westhampstead,15.84016832179334,19.866772856637798
87,brondesburypark,12.607714514322943,15.788512666585795
88,buckhursthill,42.82135305118465,28.708937456760207
89,loughton,43.53621651337201,30.279179748072814
90,burntoak,11.013391912749542,27.411333366782436
91,colindale,12.268015194719247,26.315202088195228
92,bushey,3.2976329948142884,27.74256975578509
93,watfordhighstreet,1.5035699577335788,28.507816295322673
94,caledonianroad,27.64393227013017,20.100389718622292
95,hollowayroad,28.884450618827685,21.854887088095122
96,caledonianroad&barnsbury,28.864773365768993,17.901665590341445
97,highbury&islington,30.88549889292791,18.9821008220546
98,camdenroad,25.689141043898168,18.494914156043784
99,camdentown,23.182050305491863,17.099535535235773
100,euston,26.070724204587837,14.185319593084206
101,morningtoncrescent,24.079138241156556,15.57609398605998
102,canarywharf,42.267446554760376,0.7028843596180028
103,surreyquays,37.87877458452117,-4.416373785604181
104,heronquays,39.98862412739194,-0.0756703750504408
105,northgreenwich,46.06927100141541,-1.7938072804887246
106,canningtown,46.35815533849833,6.425933747860782
107,royalvictoria,47.405488292738134,2.3380050090234814
108,westsilvertown,47.573952498365855,-0.8888198743077724
109,cannonstreet,31.78455992632224,1.1335798115526952
110,monument,33.39416959819504,2.633267049098683
111,canonbury,32.55813661551441,20.145018001235247
112,dalstonjunction,34.84537706887803,19.420764663036124
113,dalstonkingsland,34.493525774816945,22.041717481961882
